"model_name","parent_class_id","parent_id","parent_name","collection_id","collection_name","category_id","category_name","category_rank","child_id","child_name","property_id","property_name","band_id","timeslice_name","sample_name","_date","period_id","value","unit_id","unit_name","interval_id","phase_id","phase_name"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","1/1/2024 12:00:00 AM","1","784.91223746001","2","GWh","1","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","2/1/2024 12:00:00 AM","2","698.47653676338","2","GWh","2","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","3/1/2024 12:00:00 AM","3","725.99728752588","2","GWh","3","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","4/1/2024 12:00:00 AM","4","863.58721948663","2","GWh","4","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","5/1/2024 12:00:00 AM","5","1197.02511203373","2","GWh","5","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","6/1/2024 12:00:00 AM","6","1452.3702133978","2","GWh","6","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","7/1/2024 12:00:00 AM","7","1747.47671982494","2","GWh","7","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","8/1/2024 12:00:00 AM","8","1692.50779221332","2","GWh","8","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","9/1/2024 12:00:00 AM","9","1392.33110949907","2","GWh","9","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","10/1/2024 12:00:00 AM","10","1087.21556604559","2","GWh","10","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","11/1/2024 12:00:00 AM","11","716.06235493749","2","GWh","11","4","ST Schedule"
"Year DA","0","0","","1","Generator","4","Coal/Steam","1","0","","1","Generation","1","All Periods","Mean","12/1/2024 12:00:00 AM","12","829.40181296696","2","GWh","12","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","1/1/2024 12:00:00 AM","1","648.80574954469","2","GWh","1","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","2/1/2024 12:00:00 AM","2","590.24974353742","2","GWh","2","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","3/1/2024 12:00:00 AM","3","609.98696102986","2","GWh","3","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","4/1/2024 12:00:00 AM","4","590.2460537731","2","GWh","4","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","5/1/2024 12:00:00 AM","5","600.01830873943","2","GWh","5","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","6/1/2024 12:00:00 AM","6","596.75030570346","2","GWh","6","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","7/1/2024 12:00:00 AM","7","663.18573560015","2","GWh","7","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","8/1/2024 12:00:00 AM","8","639.50873609346","2","GWh","8","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","9/1/2024 12:00:00 AM","9","611.37124395849","2","GWh","9","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","10/1/2024 12:00:00 AM","10","608.10556872157","2","GWh","10","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","11/1/2024 12:00:00 AM","11","617.68890467083","2","GWh","11","4","ST Schedule"
"Year DA","0","0","","1","Generator","5","Hydro","2","0","","1","Generation","1","All Periods","Mean","12/1/2024 12:00:00 AM","12","636.07750870208","2","GWh","12","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","1/1/2024 12:00:00 AM","1","586.6415372336","2","GWh","1","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","2/1/2024 12:00:00 AM","2","686.99268760751","2","GWh","2","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","3/1/2024 12:00:00 AM","3","744.60421672873","2","GWh","3","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","4/1/2024 12:00:00 AM","4","734.08283210848","2","GWh","4","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","5/1/2024 12:00:00 AM","5","820.14569067901","2","GWh","5","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","6/1/2024 12:00:00 AM","6","984.99269665435","2","GWh","6","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","7/1/2024 12:00:00 AM","7","1301.20613209292","2","GWh","7","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","8/1/2024 12:00:00 AM","8","1340.14845234428","2","GWh","8","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","9/1/2024 12:00:00 AM","9","920.21402511014","2","GWh","9","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","10/1/2024 12:00:00 AM","10","866.33947572136","2","GWh","10","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","11/1/2024 12:00:00 AM","11","577.27070331276","2","GWh","11","4","ST Schedule"
"Year DA","0","0","","1","Generator","6","NG/CC","3","0","","1","Generation","1","All Periods","Mean","12/1/2024 12:00:00 AM","12","794.43217347139","2","GWh","12","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","1/1/2024 12:00:00 AM","1","71.36079082007","2","GWh","1","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","2/1/2024 12:00:00 AM","2","112.20043649242","2","GWh","2","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","3/1/2024 12:00:00 AM","3","125.01986471796","2","GWh","3","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","4/1/2024 12:00:00 AM","4","130.30941907347","2","GWh","4","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","5/1/2024 12:00:00 AM","5","134.82676255321","2","GWh","5","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","6/1/2024 12:00:00 AM","6","164.50210655383","2","GWh","6","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","7/1/2024 12:00:00 AM","7","276.07725273617","2","GWh","7","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","8/1/2024 12:00:00 AM","8","309.62803525684","2","GWh","8","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","9/1/2024 12:00:00 AM","9","148.65630822558","2","GWh","9","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","10/1/2024 12:00:00 AM","10","161.21154867697","2","GWh","10","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","11/1/2024 12:00:00 AM","11","71.40943563443","2","GWh","11","4","ST Schedule"
"Year DA","0","0","","1","Generator","7","NG/CT","4","0","","1","Generation","1","All Periods","Mean","12/1/2024 12:00:00 AM","12","107.99947980519","2","GWh","12","4","ST Schedule"
